名称,区域,板块,房型,朝向,面积(平米),价格(元/月),单位面积价格(元/平米/月)
新外大街甲4号院,西城,马甸,1室1厅,南,62.5,5700,91
青春无限,西城,牛街,1室1厅,西,55.5,6200,111
城家公寓,,,,,10.0,5950,595
大石桥胡同10号院,西城,六铺炕,2室1厅,东,25.0,8800,352
红土店南里,西城,陶然亭,2室1厅,南,41.0,6200,151
东斜街,西城,西单,1室1厅,南,47.5,7500,157
天通苑北一区,昌平,天通苑,1室1厅,南,39.0,6060,155
中国铁建尚城汇,昌平,南邵,2房间,东,25.5,8400,329
温泉花园B区,昌平,北七家,2室1厅,南,87.0,4190,48
北京人家,昌平,回龙观,2室1厅,南/北,45.0,7500,166
润枫欣尚,昌平,立水桥,2房间,东,68.5,5790,84
首开智慧社,昌平,回龙观,2房间,西,31.0,6060,195
旗胜家园,昌平,西三旗,2室1厅,南,54.5,7060,129
龙湖唐宁one,海淀,五道口,4室2厅,,208.5,115000,551
建清园,海淀,学院路,2室1厅,南/北,34.0,6600,194
红联北村,海淀,小西天,2室1厅,东/西,68.0,8200,120
皂君东里,海淀,皂君庙,2室1厅,西南,43.0,6800,158
紫竹院小区,海淀,紫竹桥,2室1厅,南,40.5,7260,179
金沟河3号院,海淀,五棵松,1室1厅,南,25.0,4200,168
京投银泰琨御府,海淀,四季青,3房间,西北,55.5,8300,149
生态园,海淀,学院路,2室1厅,南/北,37.5,8400,224
安河家园,海淀,海淀其它,1室1厅,南,35.0,5930,169
知春里,海淀,双榆树,2室1厅,南/北,28.5,10500,368
观澳园,海淀,清河,1室0厅,东,42.0,5000,119
新明胡同,西城,马甸,1室1厅,南,38.5,6500,168
阳光丽景,西城,马甸,2室1厅,东/西,74.0,17000,229
玉桃园二区,西城,西直门,5室2厅,南/北,74.0,23000,310
天泽园,西城,长椿街,3室1厅,东/西,88.0,15000,170
真武家园,西城,木樨地,2室1厅,南/西,30.0,13200,440
黄寺大街24号院,西城,六铺炕,2室1厅,南,40.0,8500,212
广安门外大街,西城,天宁寺,2室1厅,东南,34.5,8300,240
北京愿景公寓,,,高级一居室,,21.25,7395,348
北京愿景公寓,,,,,14.25,6190,434
长椿街西里,西城,长椿街,2室1厅,南,54.5,8090,148
中信锦园,西城,陶然亭,2室1厅,南/北,86.0,16000,186
百万庄寅区,西城,阜成门,2室1厅,东北,41.0,8630,210
天宁寺前街南里,西城,天宁寺,3室2厅,南/北,91.5,9300,101
复兴门北大街,西城,月坛,2室1厅,东,71.5,10260,143
畅柳园,西城,陶然亭,2室1厅,南/北,44.0,9400,213
槐柏树街,西城,长椿街,2室1厅,东/北,65.0,7500,115
朗琴园,西城,广安门,1室0厅,西南,66.0,5000,75
裕中西里,西城,马甸,2室1厅,东/西,30.0,7700,256
锦上国际公寓,西城,长椿街,1室1厅,南,54.0,7500,138
爱民里小区,西城,西四,1室1厅,东,49.5,8230,166
裕中西里,西城,马甸,1室1厅,南,26.5,6500,245
北京愿景公寓,,,2室1厅,,25.0,8190,327
天通苑东二区,昌平,天通苑,2室1厅,东南,65.0,5000,76
金域华府三期,昌平,回龙观,2室2厅,南,55.0,7999,145
北环里小区,昌平,鼓楼大街,1室0厅,北,53.5,2800,52
北街家园七区,昌平,沙河,3室1厅,东,49.5,5500,111
金域华府一期,昌平,回龙观,2室1厅,南/北,49.5,9000,181
顶秀青溪,昌平,立水桥,2室2厅,南/北,86.5,11000,127
矩阵二期,昌平,回龙观,1室1厅,东北,54.5,5530,101
龙城花园W区,昌平,回龙观,3室1厅,南/北,121.0,20000,165
龙跃苑一区,昌平,回龙观,2室1厅,南/北,49.5,6000,121
旗胜家园,昌平,西三旗,2室1厅,南/北,44.5,6600,148
正辰小区,昌平,天通苑,3室0厅,南/北,49.0,7200,146
北街家园六区,昌平,沙河,3室1厅,东/西,44.5,4700,105
溪城家园,昌平,立水桥,2室1厅,南,40.0,5500,137
北京北,昌平,立水桥,2室1厅,东南,85.0,7200,84
东二旗新村,昌平,北七家,2室1厅,南/北,44.5,5100,114
龙华园,昌平,回龙观,2室1厅,南/北,75.0,6000,80
龙腾苑四区,昌平,回龙观,2室1厅,南,88.5,7760,87
翡翠公园二期,昌平,北七家,4室2厅,南/北,73.5,20000,272
北街家园一区,昌平,沙河,3室1厅,南,44.5,4800,107
金隅万科城三期,昌平,鼓楼大街,2室1厅,南,73.5,5000,68
旺龙花园,昌平,霍营,1室1厅,东北,50.0,4800,96
金科廊桥水岸,昌平,南邵,6室2厅,,86.5,8500,98
金域华府一期,昌平,回龙观,2室1厅,南,79.0,7830,99
阜光里小区,海淀,甘家口,4室2厅,南/北,84.5,15500,183
康桥水郡,海淀,万柳,3室1厅,南/北,111.0,27000,243
甘家口小区,海淀,甘家口,3室2厅,,65.5,13500,206
玲珑花园,海淀,四季青,5室2厅,南/北,151.5,40000,264
育新花园,海淀,西三旗,2室1厅,南,28.5,6490,227
知春里,海淀,双榆树,3室1厅,南/北,46.5,12000,258
小南庄社区,海淀,苏州桥,2室2厅,南/北,55.5,11500,207
怡清园,海淀,清河,3室1厅,南/北,96.0,10800,112
冠城大通百旺府,海淀,海淀北部新区,3室2厅,南/北,110.5,9000,81
恩济里小区,海淀,定慧寺,2室1厅,南/北,59.0,5800,98
小南庄甲26号院,海淀,苏州桥,2室1厅,南,28.5,8000,280
复兴路46号院,海淀,玉泉路,2室1厅,东,29.0,6200,213
辉煌国际,海淀,上地,2房间,南,64.5,6200,96
林大北路9号院,海淀,学院路,2室1厅,南/北,31.5,7200,228
永金里小区,海淀,五棵松,3室2厅,南/北,65.0,10200,156
中关村,海淀,中关村,2室1厅,南/北,69.5,8300,119
智慧大厦,海淀,小西天,2室2厅,东,38.5,8800,228
冠城大通百旺府,海淀,海淀北部新区,3室2厅,南/北,69.5,12500,179
西山壹号院北区,海淀,西北旺,5室3厅,南/北,252.5,50000,198
东领鉴筑,朝阳,定福庄,2室1厅,南/北,52.5,7300,139
远洋自然,丰台,大红门,1室0厅,东,55.0,5300,96
万福家园,通州,北关,1室1厅,南,55.0,3000,54
东南小区,海淀,中关村,2室1厅,南,64.5,8200,127
鑫兆雅园北区,丰台,刘家窑,2室1厅,南/北,76.5,7900,103
星源国际,朝阳,望京,1室0厅,东,53.0,6000,113
世嘉光织谷西区,怀柔,怀柔,2室2厅,南/北,46.5,2600,55
东亚印象台湖,通州,通州其它,2室1厅,南/北,71.0,3600,50
嘉玺园,密云,鼓楼街道,3室1厅,南/北,50.0,2000,40
沿湖小区,密云,鼓楼街道,2室2厅,南/北,93.0,1600,17
云秀花园,密云,鼓楼街道,5室2厅,南/北,179.0,12500,69
檀营国际生态城北区,密云,鼓楼街道,2室1厅,南,86.0,1600,18
东菜园社区,密云,鼓楼街道,3室2厅,南/北,108.5,2600,23
久润花园东区,密云,鼓楼街道,2室2厅,南/北,54.0,2100,38
开园小区,密云,鼓楼街道,3室1厅,南/北,76.0,3000,39
涧桥山,密云,果园街道,2室1厅,南/北,58.0,2500,43
北源里,密云,鼓楼街道,2室1厅,南/北,32.5,1800,55
檀营国际生态城北区,密云,鼓楼街道,2室1厅,南/北,47.0,1700,36
檀营国际生态城北区,密云,鼓楼街道,2室2厅,南,47.0,1600,34
康居南区,密云,果园街道,3室2厅,南/北,80.5,1900,23
密云橡树湾西区,密云,鼓楼街道,2室1厅,南,68.0,2600,38
宾阳西里北区,密云,鼓楼街道,2室1厅,南/北,79.0,1600,20
果园西里,密云,果园街道,2室1厅,南/北,52.0,1600,30
檀城西区,密云,鼓楼街道,3室2厅,南/北,88.0,2300,26
宾阳里小区,密云,鼓楼街道,2室1厅,南/北,66.0,1700,25
花园小区,密云,鼓楼街道,3室2厅,南/北,57.0,2000,35
花园小区,密云,鼓楼街道,2室1厅,南/北,41.5,1800,43
花园小区,密云,鼓楼街道,2室1厅,南/北,53.5,2200,41
密云橡树湾西区,密云,鼓楼街道,3室2厅,南/北,71.5,1000,13
宾阳里小区,密云,鼓楼街道,2室2厅,南/西,67.5,2100,31
行宫南区,密云,鼓楼街道,3室2厅,南/北,56.5,1900,33
檀营国际生态城北区,密云,鼓楼街道,2室1厅,南/北,71.0,1700,23
檀营国际生态城南区,密云,鼓楼街道,2室1厅,南/北,72.5,1700,23
富帛家属院,密云,密云镇,2室1厅,南,54.5,1600,29
保利花园C区,密云,鼓楼街道,2室1厅,南/北,45.5,1800,39
开园小区,密云,鼓楼街道,3室2厅,南,102.5,3500,34
博世庄园,密云,密云镇,4室1厅,南/北,87.0,3500,40
博世庄园,密云,密云镇,3室2厅,南/北,88.5,3500,39
K2清水湾,通州,潞苑,3室1厅,南/北,61.0,5500,90
翠屏北里西区,通州,果园,2室2厅,南/北,85.5,4500,52
京澜誉府,通州,万达,3室2厅,南/北,98.0,9500,96
东亚环球国际,通州,通州其它,1房间,西,19.5,2000,102
东亚尚品台湖,通州,通州其它,2房间,西,24.0,2200,91
加华印象街,通州,武夷花园,2室1厅,西,83.0,4730,56
首开万科城市之光盛佳尚苑,通州,通州其它,4房间,南/西,32.5,5300,163
圣水北大街56号院,房山,长阳,2室1厅,南/北,40.0,3400,85
金隅糖,房山,长阳,3房间,西,25.5,3000,117
旭辉E天地,房山,良乡,2房间,东,48.5,2900,59
金地朗悦YOYO派,房山,长阳,2房间,南,24.5,2600,106
天资华府,房山,长阳,3室1厅,南/北,78.5,5000,63
金地朗悦悦园,房山,长阳,3室1厅,南/北,45.5,5000,109
金隅糖,房山,长阳,2室1厅,南/北,43.5,4000,91
后南仓,通州,万达,2室1厅,南/北,30.0,3200,106
DBC加州小镇,通州,临河里,1室1厅,南,67.5,4260,63
样本,通州,马驹桥,3室1厅,南/北,70.5,6000,85
K2清水湾,通州,潞苑,2室1厅,东北,61.0,5490,90
天时名苑,通州,通州北苑,4室2厅,南/北,103.5,10500,101
长桥园公寓,通州,通州北苑,2室1厅,南,43.5,5460,125
合生世界村,通州,马驹桥,2房间,西,37.5,3960,105
西马庄园,通州,通州北苑,2室1厅,南,55.0,4790,87
合生世界花园,通州,马驹桥,2房间,西,29.0,3600,124
珠江拉维小镇,通州,潞苑,2室1厅,南,47.5,4000,84
富河园,通州,北关,4室2厅,南/北,92.0,9000,97
财富东方,通州,北关,1室1厅,西南,43.0,4730,110
新光大中心,通州,北关,2房间,北,23.5,4300,182
新华联集团住宅楼,通州,潞苑,3室2厅,南/北,85.5,5400,63
方恒东景,通州,临河里,2室1厅,南,47.0,5290,112
新华联锦园,通州,通州北苑,2室1厅,南,62.5,5730,91
富力惠兰美居,通州,潞苑,3室1厅,南/北,85.0,4000,47
世纪星城,通州,通州北苑,2室1厅,南,88.0,5590,63
蓝调沙龙东区,通州,九棵树(家乐福),1室1厅,东北,65.0,4000,61
新光大中心,通州,北关,1室0厅,北,29.5,4500,152
珠江国际城八区,通州,潞苑,2室2厅,南/北,88.5,4500,50
三元村,通州,武夷花园,2室1厅,南/北,37.5,3000,80
东亚印象台湖,通州,通州其它,2室1厅,南,32.5,3300,101
天资华府,房山,长阳,2室1厅,南/北,57.0,3900,68
绿地诺亚方舟,房山,良乡,1房间,西,25.0,3000,120
长阳国际城三区,房山,长阳,3室1厅,南/北,58.0,4300,74
长阳半岛怡和路3号院,房山,长阳,3室2厅,南/北,62.0,8300,133
首创紫悦台,房山,良乡,2房间,北,34.0,2600,76
宜春里,房山,良乡,3室1厅,南/北,52.0,2400,46
房山超级蜂巢,房山,良乡,2房间,北,20.0,2700,135
宜春里,房山,良乡,2室1厅,南/北,29.0,2200,75
沁园春景,房山,窦店,2室2厅,南/北,57.0,1900,33
原香小镇二区,房山,长阳,2室1厅,南/北,44.0,3500,79
苏庄一里小区,房山,良乡,2室1厅,南/北,58.0,3000,51
瑞雪春堂,房山,良乡,3房间,东,18.5,2900,156
圣水北大街56号院,房山,长阳,2室1厅,南,40.0,3200,80
北京城建琨廷漫缇,房山,窦店,3室1厅,南/北,82.0,3500,42
华典家园,房山,良乡,1室2厅,南,60.0,3200,53
翠林漫步,房山,长阳,1室1厅,东南,54.5,3000,55
半岛金街,房山,长阳,3房间,西,31.0,4200,135
长阳半岛3号院,房山,长阳,3室2厅,西南,79.0,5800,73
万科长阳天地5号院,房山,长阳,3室2厅,,97.0,5500,56
旭辉城,房山,房山其它,3室1厅,南,73.0,2000,27
FCC中央城康泽路,房山,长阳,2室1厅,西,21.0,3450,164
房山超级蜂巢,房山,良乡,2房间,南,63.0,2400,38
长阳半岛2号院,房山,长阳,2室1厅,南/北,43.5,4700,108
裕中东里,西城,马甸,1室1厅,南,20.5,6560,320
西豪逸景,西城,广安门,2室1厅,北,28.0,6000,214
玺源台,西城,广安门,2室1厅,西,74.0,9800,132
手帕口北街,西城,广安门,3室1厅,,71.0,7500,105
裕中西里,西城,马甸,2室1厅,北,45.5,10490,230
荣丰2008,西城,广安门,1室0厅,南,51.5,3900,75
恬心家园,西城,白纸坊,1室1厅,东,70.5,5500,78
建功北里,西城,白纸坊,2室1厅,南/北,35.0,6500,185
德宝新园,西城,西直门,2室1厅,东,29.0,8630,297
平原里小区,西城,牛街,1室1厅,南,31.0,7360,237
中加大厦,西城,白纸坊,3室1厅,西北,102.5,9500,92
中加大厦,西城,白纸坊,2室1厅,南,91.0,8000,87
中加大厦,西城,白纸坊,4室1厅,,134.0,13500,100
康乐里小区,西城,长椿街,2室1厅,东/南,47.5,12000,252
姚家井二巷,西城,陶然亭,1室1厅,南,19.5,5430,278
南礼士路甲62号院,西城,月坛,2室1厅,南,64.5,8790,136
广益大厦,西城,长椿街,3房间,东南,71.0,12836,180
西便门内大街79号院,西城,长椿街,1室1厅,南,21.0,5800,276
锦上国际公寓,西城,长椿街,1室1厅,北,83.0,7500,90
锦上国际公寓,西城,长椿街,1室1厅,北,40.5,8000,197
荣丰2008,西城,广安门,1室1厅,东,22.0,4990,226
玉廊园,西城,官园,2室1厅,东,69.5,10090,145
广信嘉园,西城,长椿街,2室1厅,西南,55.0,11200,203
锦上国际公寓,西城,长椿街,1室1厅,北,70.0,7000,100
如意里,西城,新街口,2室1厅,南,59.0,8490,143
核桃园,西城,长椿街,2室1厅,南/北,38.5,5800,150
朗琴园,西城,广安门,1室1厅,西,29.0,8390,289
南线阁35号院,西城,牛街,3室2厅,东/北,70.0,13500,192
白广路二条4号院,西城,牛街,3室1厅,西北,86.0,7200,83
马连道中里,西城,马连道,2室1厅,南,46.0,7730,168
通惠家园,朝阳,四惠,1室1厅,西,36.0,7030,195
爱这城一期,朝阳,四惠,3室2厅,南/北,65.5,11000,167
明天第一城8号院,朝阳,立水桥,2房间,西,63.0,5090,80
嘉润花园,朝阳,望京,2室1厅,北,98.5,10290,104
沿海赛洛城七期,朝阳,百子湾,3室1厅,,74.5,8300,111
都会华庭,朝阳,十里堡,2室1厅,东,52.5,8600,163
普惠南里,海淀,公主坟,1室1厅,南,25.5,6100,239
东馨园,海淀,西北旺,1室1厅,南/北,23.0,5400,234
远大园三区,海淀,世纪城,3室2厅,东南,113.5,21000,185
蜂鸟家园,海淀,万柳,1室1厅,北,68.0,7260,106
北新家园,海淀,西三旗,2室1厅,南/北,72.5,5500,75
长河湾,海淀,西直门,1室1厅,北,73.5,10160,138
胜古南里,朝阳,惠新西街,2室1厅,南,57.5,7590,132
保利东郡,朝阳,石佛营,3室2厅,南/北,113.5,35000,308
慧忠里B区,朝阳,亚运村,1室1厅,东/西,63.0,5300,84
世贸国际公寓,朝阳,东大桥,2室1厅,南,88.0,27000,306
沿海赛洛城,朝阳,百子湾,2房间,北,57.0,5660,99
东方雅苑,朝阳,大望路,1室1厅,北,16.5,5190,314
力源里,朝阳,四惠,2室1厅,,84.0,8200,97
观湖国际,朝阳,朝阳公园,4室2厅,,176.5,37000,209
柳芳南里,朝阳,国展,1室1厅,南,68.0,7000,102
首开常青藤三期,朝阳,东坝,2室1厅,南/北,71.5,8000,111
远洋一方北润园,朝阳,双桥,2室1厅,南,71.0,6330,89
万科星园,朝阳,奥林匹克公园,2室1厅,东南,63.0,12090,191
亚奥金茂悦,朝阳,北苑,3室2厅,南,59.0,15500,262
东恒时代三期,朝阳,四惠,1室0厅,东南,35.5,6600,185
北纬40度二期,朝阳,望京,2室1厅,东,49.5,8800,177
潘家园南里,朝阳,潘家园,3室1厅,南/北,71.5,10000,139
松榆里,朝阳,潘家园,1室1厅,西南,55.0,5190,94
丽都壹号,朝阳,酒仙桥,2室1厅,东,89.0,10100,113
石门新居35号院,朝阳,百子湾,1室1厅,南,51.0,6830,133
南湖东园一区,朝阳,望京,3室1厅,,53.5,8700,162
惠新北里,朝阳,惠新西街,2室1厅,东南,58.5,8590,146
惠新西街小区,朝阳,惠新西街,1室1厅,南,26.5,6960,262
五福玲珑居北区,海淀,四季青,2室1厅,南/北,35.0,7800,222
树村丽景苑,海淀,马连洼,1室1厅,东,22.0,6530,296
依都阁,海淀,小西天,1室1厅,北,34.0,8000,235
六里屯二区,海淀,海淀北部新区,2室1厅,南,82.5,8230,99
京泉馨苑,海淀,西山,2室1厅,南/北,42.5,7000,164
北洼路32号院,海淀,紫竹桥,1室1厅,东,27.0,6200,229
清缘东里,海淀,清河,2室1厅,北,33.0,6000,181
小南庄社区,海淀,苏州桥,2室1厅,东,41.0,7960,194
百旺茉莉园,海淀,西北旺,2室1厅,南/北,57.0,10800,189
信息学院家属楼,海淀,清河,2室1厅,南/北,37.5,5800,154
汇新家园,海淀,万柳,2室1厅,西南,43.5,11500,264
林大北路9号院,海淀,学院路,2室1厅,南,65.0,8290,127
门头馨村北二区,海淀,西山,1室1厅,南/北,34.0,5700,167
万德嘉园二区,海淀,西北旺,2室1厅,南,39.0,7600,194
万德嘉园二区,海淀,西北旺,2室2厅,南/北,40.0,7600,190
秋露园,海淀,西北旺,1室1厅,南,28.0,6590,235
西山公馆,海淀,西北旺,3室2厅,南/北,75.5,16500,218
紫金长安,海淀,五棵松,2室1厅,东/西,72.0,14000,194
逸升轩,海淀,甘家口,3室1厅,南/北,100.0,27000,270
二里庄小区,海淀,二里庄,1室1厅,东,22.5,6860,304
复兴路乙4号院,海淀,军博,2室1厅,南,76.5,15000,196
索家坟,海淀,小西天,2室1厅,南/北,29.0,7300,251
润生园,海淀,西三旗,1室1厅,东北,41.5,4800,115
海淀大街25号,海淀,苏州桥,1室1厅,东,54.5,6500,119
清水园二期,昌平,立水桥,2室1厅,南/北,73.5,6000,81
华龙苑中里,昌平,霍营,2室1厅,南,42.5,5630,132
TBD云集中心,昌平,昌平其它,3室1厅,南/北,44.5,5400,121
首开国风美唐综合楼,昌平,回龙观,2房间,西,55.0,6090,110
新龙城,昌平,回龙观,1室0厅,北,23.5,5100,217
天通苑中苑,昌平,天通苑,2室1厅,南/北,52.0,5200,100
龙山华府,昌平,南邵,3室2厅,南/北,105.0,6500,61
恒大幸福家园,昌平,沙河,2室1厅,南/西,86.5,5100,58
紫晶七星广场,昌平,回龙观,2房间,东,19.5,5200,266
龙山跃,昌平,南邵,3房间,东/西,35.5,4700,132
宁馨苑,昌平,东关,3室2厅,南/北,112.5,5800,51
龙腾苑五区,昌平,回龙观,3室1厅,南/北,103.0,7400,71
东亚上北中心,昌平,回龙观,2房间,北,50.5,5690,112
慧华苑,昌平,回龙观,2室1厅,南,85.0,5990,70
北街家园八区,昌平,沙河,3室0厅,南,31.5,4350,138
首城国际B区,朝阳,双井,2室2厅,南/北,45.0,9600,213
易构空间,朝阳,大望路,2室2厅,南,60.0,12900,215
金辰府,昌平,北七家,3室1厅,东/西,44.0,5100,115
温泉花园B区,昌平,北七家,2室1厅,南,87.0,4190,48
合立方,昌平,立水桥,2室1厅,南,40.5,6600,162
东亚上北中心,昌平,回龙观,2房间,北,43.0,5390,125
天通苑北一区,昌平,天通苑,1室1厅,南,39.0,6060,155
天通苑北三区,昌平,天通苑,2室1厅,北,82.0,6490,79
东亚奥北中心北区,昌平,天通苑,3房间,,70.5,6300,89
北京风景66号院,昌平,东关,3室1厅,南/北,75.0,6000,80
龙城花园W区,昌平,回龙观,3室1厅,南/北,96.0,14000,145
铁路局宿舍,昌平,鼓楼大街,3室1厅,南/北,68.0,2400,35
东亚奥北中心北区,昌平,天通苑,2房间,北,47.0,5390,114
王府花园,昌平,北七家,3室2厅,南/北,116.5,7600,65
王府温馨公寓,昌平,北七家,3室2厅,南/北,65.5,5800,88
名佳花园三区,昌平,北七家,1室1厅,南,44.5,4790,107
京投发展公园悦府一区,昌平,回龙观,2室1厅,南,60.0,7660,127
惠民家园二区,门头沟,大峪,2室1厅,南,32.5,3100,95
华远裘马四季,门头沟,大峪,4室2厅,南/北,95.5,18000,188
石泉砖厂A2区,门头沟,门头沟其它,3室1厅,西,43.0,3000,69
梧桐苑栖凤园,门头沟,上岸地铁,3室1厅,南,44.5,5000,112
新桥路小区,门头沟,大峪,3室1厅,南/北,79.5,3600,45
梧桐苑栖凤园,门头沟,上岸地铁,3室1厅,南/北,60.0,6200,103
鸿坤七星长安,门头沟,滨河西区,2房间,北,63.5,3200,50
梧桐苑知秋园,门头沟,上岸地铁,3室2厅,南/北,59.5,6400,107
中昂时代广场,门头沟,大峪,3房间,东/北,19.0,2800,147
城子大街90号院,门头沟,城子,,,31.5,3000,95
向阳楼,门头沟,城子,3室1厅,南,42.0,3000,71
紫金新园二区,门头沟,石门营,1室0厅,西,22.5,3100,137
剧场东街,门头沟,城子,3室1厅,南/北,45.0,3500,77
中国铁建梧桐汇,门头沟,上岸地铁,3房间,南,39.0,4200,107
月季园东里,门头沟,滨河西区,2室1厅,南/北,69.5,3000,43
云泽嘉苑,门头沟,石门营,1室0厅,南,21.5,3300,153
城子市场12号,门头沟,城子,2室1厅,东,29.5,2900,98
皓月园,门头沟,滨河西区,2室1厅,南/北,60.0,5200,86
紫金新园三区,门头沟,石门营,2室1厅,南,33.5,3600,107
新桥路小区,门头沟,大峪,2室1厅,南/北,50.5,2800,55
云翔嘉苑,门头沟,石门营,1室1厅,南,21.0,3100,147
云泽嘉苑,门头沟,石门营,1室1厅,东,22.5,3200,142
永升嘉园,门头沟,上岸地铁,2室1厅,南,56.5,3500,61
西长安壹号,门头沟,上岸地铁,2房间,北,22.0,4200,190
绮霞苑,门头沟,滨河西区,2室1厅,南/北,37.0,3600,97
惠泽家园,门头沟,门头沟其它,2室1厅,南/北,82.5,3000,36
万科翡翠长安,门头沟,上岸地铁,4室2厅,南/北,66.0,11000,166
云翔嘉苑,门头沟,石门营,3室1厅,南,41.0,4200,102
石门营新区三区,门头沟,石门营,1室1厅,南,46.5,3200,68
九龙东苑7号地,门头沟,城子,1室0厅,西,36.0,2700,75
东领鉴筑,朝阳,定福庄,2室1厅,南/北,52.5,7300,139
远洋自然,丰台,大红门,1室0厅,东,55.0,5300,96
万福家园,通州,北关,1室1厅,南,55.0,3000,54
东南小区,海淀,中关村,2室1厅,南,64.5,8200,127
鑫兆雅园北区,丰台,刘家窑,2室1厅,南/北,76.5,7900,103
星源国际,朝阳,望京,1室0厅,东,53.0,6000,113
世嘉光织谷西区,怀柔,怀柔,2室2厅,南/北,46.5,2600,55
东亚印象台湖,通州,通州其它,2室1厅,南/北,71.0,3600,50
叠翠庭苑二区,石景山,苹果园,2室1厅,南,39.0,7000,179
远洋山水,石景山,鲁谷,2室1厅,东北,52.5,9000,171
杨庄北区,石景山,杨庄,1室1厅,东南,57.5,4800,83
地震局宿舍,石景山,玉泉路,1室1厅,南/北,70.0,4500,64
CRD银座,石景山,鲁谷,2室1厅,南/北,27.5,6800,247
时代庐峰,石景山,鲁谷,1室1厅,北,72.0,5300,73
重兴嘉园,石景山,鲁谷,1室1厅,南,64.5,5200,80
重兴嘉园,石景山,鲁谷,3室1厅,西南,62.5,7300,116
苹果园小区一区,石景山,苹果园,2室1厅,南/北,28.0,5000,178
启迪香山,石景山,苹果园,2房间,北,19.0,5000,263
金顶街五区,石景山,苹果园,1室1厅,西,51.0,4800,94
衙府居园,石景山,石景山其它,2室1厅,南,34.5,5100,147
南宫嘉园,石景山,石景山其它,1室1厅,南/北,35.5,3400,95
八宝山南路29号院,石景山,鲁谷,1室1厅,南,45.5,3600,79
海特花园西区,石景山,苹果园,2室1厅,南/北,71.0,5300,74
古城路小区,石景山,古城,1室0厅,东,13.5,3200,237
古城北路,石景山,古城,2室1厅,南,25.0,4300,172
中海寰宇天下熙山府,石景山,古城,4室2厅,南/北,84.5,13800,163
栌韵苑,石景山,古城,1室0厅,南,35.0,4200,120
永乐西区,石景山,鲁谷,2室1厅,南,31.0,4500,145
八角北里,石景山,八角,1室1厅,南,27.5,4200,152
苹果园小区一区,石景山,苹果园,2室1厅,南/北,29.0,4900,168
金铸阳光苑,石景山,苹果园,2室1厅,东/西,39.0,5600,143
融景城,石景山,八角,2室1厅,南/北,40.5,5500,135
苹果汇,石景山,苹果园,1房间,南,43.5,6500,149
聚兴园,石景山,鲁谷,2室2厅,南/北,67.5,5700,84
中海长安雅苑,石景山,古城,2室1厅,南,37.5,5800,154
永乐东区,石景山,鲁谷,1室1厅,南,22.0,4000,181
黄南苑,石景山,杨庄,2室1厅,西南,87.5,5800,66
依翠园,石景山,鲁谷,3室1厅,南/北,85.5,6900,80
炫立方,顺义,顺义其它,1房间,东南,72.5,3000,41
中粮祥云国际生活区,顺义,后沙峪,4室2厅,南/北,133.0,46000,345
龙湾别墅,顺义,中央别墅区,5室2厅,南/北,177.5,34000,191
鲁能7号院溪园,顺义,马坡,3室2厅,南/北,67.5,5800,85
绿地启航国际南区,顺义,后沙峪,2房间,东,74.5,4500,60
石园南区,顺义,顺义城,1室1厅,南/北,55.5,2500,45
新城国誉府,顺义,马坡,3室1厅,南/北,76.0,4500,59
板桥南街8号院,顺义,顺义其它,3室2厅,南/北,73.0,3900,53
白露雅园东区,顺义,后沙峪,1室1厅,南,51.0,3600,70
鹭峯国际,顺义,顺义其它,3房间,东北,45.0,4300,95
万科观承别墅二期,顺义,后沙峪,5室2厅,南,160.5,70000,436
中粮祥云国际生活区,顺义,后沙峪,4室2厅,南/北,282.5,50000,176
双兴东区,顺义,顺义城,2室1厅,南/北,35.0,3600,102
建新北区,顺义,顺义城,2室1厅,南,70.0,3200,45
双兴南区,顺义,顺义城,2室1厅,南,35.0,3900,111
樱花园二区,顺义,李桥,1室1厅,南,43.0,2400,55
龙泉苑小区,顺义,顺义城,2室1厅,南/北,47.5,4800,101
龙湖·云河玉陛,顺义,中央别墅区,4室2厅,南/北,180.5,38000,210
米兰花园,顺义,中央别墅区,4室2厅,南/北,89.0,9000,101
香花畦家园,顺义,后沙峪,5室2厅,南/北,103.5,17500,169
中国铁建顺鑫汇,顺义,顺义其它,2房间,东,38.0,2600,68
裕龙五区,顺义,顺义城,3室1厅,南/北,82.0,5700,69
石园北区,顺义,顺义城,2室1厅,南/北,87.5,4000,45
观承别墅·大家,顺义,后沙峪,4室3厅,南/北,150.0,32000,213
香花畦家园,顺义,后沙峪,3室2厅,南/北,70.5,10500,148
馨港庄园二区,顺义,李桥,2室2厅,南/北,54.5,4000,73
中铁花溪渡,顺义,马坡,2室1厅,南/北,43.0,4200,97
万科城市花园,顺义,后沙峪,3室1厅,南/北,62.0,5200,83
东兴一区,顺义,顺义城,2室1厅,南/北,35.5,3200,90
住总正华新国展满庭芳,顺义,中央别墅区,3室1厅,南/北,79.0,7000,88
双榆树北路,海淀,双榆树,1室1厅,南,24.0,6500,270
龙湖唐宁one,海淀,五道口,1房间,北,33.0,7600,230
车道沟10号院,海淀,紫竹桥,2室1厅,,72.0,7300,101
金隅长安山麓,海淀,玉泉路,3室1厅,南/北,57.0,21000,368
上地东里,海淀,上地,2室1厅,南/北,64.0,7200,112
图景嘉园,海淀,海淀北部新区,2室1厅,南/北,40.0,6600,165
金隅美和园东区,海淀,清河,1室1厅,南,70.0,7560,108
