名称,区域,板块,房型,朝向,面积(平米),价格(元/月),单位面积价格(元/平米/月)
紫金新园三区,门头沟,石门营,2室1厅,南,42.0,4430,105
京铁祥园东区,门头沟,城子,2室1厅,南,45.5,3950,86
方隅公寓,,,,,18.5,4361,235
矿建街268号院,门头沟,门头沟其它,2室1厅,南/北,37.5,3300,88
方隅公寓,,,1室1厅,,28.0,5204,185
迎晖南苑,门头沟,滨河西区,2室1厅,南,31.5,4200,133
方隅公寓,,,,,21.0,3736,177
石泉砖厂A5区,门头沟,门头沟其它,2室1厅,南,32.5,2900,89
方隅公寓,,,1室1厅,,28.0,5376,192
桃花溪路4号院,门头沟,门头沟其它,1室1厅,南/北,28.0,2050,73
欧郡香水城,怀柔,怀柔,1室1厅,南/北,52.0,3000,57
北科建翡翠华庭,怀柔,怀柔,2室1厅,东,78.0,2800,35
怀柔新新家园,怀柔,怀柔,2室1厅,南,72.0,3300,45
柏泉庄园雁鸣园B区,怀柔,怀柔,2室1厅,南/北,90.0,2700,30
世嘉光织谷西区,怀柔,怀柔,2室1厅,南/北,83.0,2600,31
融城园北区,怀柔,怀柔,2室2厅,南/北,85.5,2300,26
怀北庄村民安置房,怀柔,怀柔,3室1厅,南/北,54.5,2500,45
富怀嘉苑A区,怀柔,怀柔,2室1厅,南,35.0,2300,65
八龙桥雅苑,怀柔,怀柔,3室1厅,南/北,64.0,3000,46
顶秀美泉小镇B区,怀柔,怀柔,2室1厅,南/北,65.5,5000,76
青春路九院,怀柔,怀柔,2室1厅,南/北,75.5,2100,27
世嘉光织谷西区,怀柔,怀柔,2室2厅,南/北,46.5,2600,55
开利园小区,怀柔,怀柔,2室1厅,东,65.0,2300,35
优品园,怀柔,怀柔,2室2厅,南/北,56.5,2500,44
柏泉庄园雁鸣园B区,怀柔,怀柔,1室1厅,南/北,57.5,2100,36
众美城,大兴,大兴新机场,2室1厅,南,68.0,2800,41
中建国际港,大兴,枣园,2室1厅,南,45.0,6260,139
育新花园南里,大兴,大兴新机场洋房别墅区,3室2厅,南/北,94.0,3500,37
保利首开乐尚N+公寓,,,高标两居室,,40.0,5653,141
和悦华锦,大兴,亦庄开发区其它,3室1厅,南/北,44.5,5800,130
万科天地,大兴,义和庄,3室1厅,,61.0,5600,91
三羊里,大兴,亦庄,1室0厅,南,27.5,3500,127
保利首开乐尚N+公寓,,,1室1厅,,17.5,2800,160
红木林南区,大兴,枣园,3室2厅,南/北,67.0,6500,97
万科天地,大兴,义和庄,2房间,南,23.5,3300,140
中国铁建兴盛嘉苑,大兴,瀛海,2室1厅,南/北,39.0,4700,120
首开中晟广场,顺义,马坡,1室1厅,东,21.5,2700,125
西辛南区,顺义,顺义城,2室1厅,南,85.5,4490,52
首开中晟广场,顺义,马坡,1室1厅,南,21.5,2800,130
冠寓,,,1室1厅,,7.25,1838,253
仁悦居9号院,顺义,顺义其它,2室1厅,南/北,88.5,3400,38
冠寓,,,,,8.5,2287,269
吉祥雅筑,顺义,后沙峪,2室1厅,东南,40.0,4600,115
冠寓,,,,,8.0,1851,231
西辛南区,顺义,顺义城,2室1厅,南/北,35.5,4400,123
冠寓,,,,,9.0,1873,208
幸福东区,顺义,顺义城,2室1厅,南,76.0,3400,44
方隅公寓,,,1室1厅,,17.5,3480,198
黑山A2区,门头沟,大峪,2室1厅,南,31.0,3100,100
方隅公寓,,,1室1厅,,18.5,3616,195
城子大街90号院,门头沟,城子,2室1厅,南,31.5,2950,93
绿岛家园,门头沟,城子,1室1厅,南,33.5,3100,92
永兴小区,门头沟,滨河西区,2室1厅,南/北,51.5,3100,60
方隅公寓,,,豪华一室,,19.75,3772,190
倚山嘉园,门头沟,滨河西区,2室1厅,南/北,50.0,3900,78
王平大街东路17号院,门头沟,门头沟其它,2室1厅,南,37.0,1500,40
皓月园,门头沟,滨河西区,1室0厅,南,25.0,3000,120
方隅公寓,,,1室1厅,,17.5,3430,196
云泽嘉苑,门头沟,石门营,3室1厅,南,41.0,4500,109
方隅公寓,,,1室1厅,,17.5,3590,205
龙泉花园,门头沟,城子,2室1厅,南/北,42.0,4200,100
方隅公寓,,,1室1厅,,19.75,3720,188
京西紫金新园,门头沟,石门营,2室1厅,,47.0,3500,74
方隅公寓,,,1室1厅,,17.5,3480,198
迎晖南苑,门头沟,滨河西区,3室1厅,南,42.5,5000,117
世嘉光织谷西区,怀柔,怀柔,1室1厅,南,37.5,2600,69
北科建翡翠华庭,怀柔,怀柔,2室1厅,南/北,69.0,3300,47
栖美园,怀柔,怀柔,1室1厅,东/北,66.5,2400,36
红螺馨园,怀柔,怀柔,2室1厅,,41.5,2600,62
天恒半山世家,怀柔,怀柔,5室2厅,,107.5,15000,139
青春路六院,怀柔,怀柔,2室1厅,南/北,67.5,2800,41
水岸雁栖,怀柔,怀柔,2室1厅,东/西,76.5,2600,33
顶秀美泉小镇C区,怀柔,怀柔,3室2厅,南/北,88.5,4000,45
顶秀美泉小镇B区,怀柔,怀柔,2室1厅,南/北,69.0,4700,68
迎宾中路,怀柔,怀柔,2室1厅,南/北,49.5,2100,42
西园,怀柔,怀柔,2室1厅,南/北,72.5,2000,27
滨湖小区,怀柔,怀柔,3室1厅,南/北,89.0,2500,28
雁栖一品园B区,怀柔,怀柔,2室1厅,南/北,40.0,2000,50
滨河馨居,怀柔,怀柔,2室1厅,南,52.5,3000,57
优品园,怀柔,怀柔,2室1厅,南/北,59.0,2300,38
万科天地,大兴,义和庄,4室1厅,南/北,89.0,10000,112
顺驰领海,大兴,高米店,2室2厅,南/北,51.0,6500,127
恒大未来城,大兴,义和庄,2室1厅,南,27.0,4200,155
中海云筑,大兴,大兴新机场,2室1厅,南/北,46.0,3000,65
车站北里,大兴,黄村火车站,2室1厅,南/北,54.0,3450,63
康庄路52号院,大兴,枣园,2室1厅,南/北,43.5,3900,89
泰禾中央广场,大兴,黄村火车站,2室1厅,南,54.0,4400,81
翡翠城五期,大兴,高米店,4室2厅,南/北,104.0,13000,125
旭辉御府,大兴,高米店,3室2厅,南/北,159.5,14000,87
东亚五环国际,大兴,旧宫,4房间,南,55.0,6600,120
恒大未来城,大兴,义和庄,2室1厅,南,17.0,4400,258
顺驰领海,大兴,高米店,4室2厅,南/北,73.5,8500,115
万科天地,大兴,义和庄,3室1厅,东,47.5,4500,94
金华园,大兴,西红门,3室1厅,南/北,40.5,4000,98
万科天地,大兴,义和庄,4房间,东,35.0,4300,122
郁花园一里,大兴,高米店,3室2厅,南/北,63.5,5600,88
恒大未来城,大兴,义和庄,2房间,南,47.5,3500,73
富力飞常HAOS,大兴,大兴新机场,4房间,南,58.5,3000,51
恒大未来城,大兴,义和庄,1室1厅,南,39.0,3600,92
冠寓,,,,,7.5,2153,287
石园东区,顺义,顺义城,2室1厅,南/北,58.0,3500,60
冠寓,,,,,7.0,1889,269
